EventCode,EventBaseCode,EventRootCode,SOURCEURL,DATEADDED,entry,ARTICLETEXT
874,87,8,https://timesofindia.indiatimes.com/city/hubballi/joshi-is-dividing-seers-dingaleshwar/articleshow/109657512.cms,20240428,0,"We also published the following articles recently

Lingayat seer exits contest against Union minister Pralhad Joshi

In Dharwad, Lingayat seer withdraws from polls to support Congress, sparking an anti-climax. Swami plans to continue his fight against Joshi's actions, backed by devotees and Lingayat Mutts supporters.

Dingaleshwar: Backed out of fray as per senior seers word

Seventeen candidates, including Pralhad Joshi and Vinod Asuti, remain in the Dharwad Lok Sabha seat fray after Dingaleshwar Swami withdrew. BJP's focus on Muslim votes criticized by Congress minister Lad.

Can power-hungry pontiffs derail BJP plans in Karnataka?

BJP's stronghold in Karnataka under scrutiny. Lingayat pontiffs influence caste saffron politics. Basavaraj Bommai faces challenges. Karnataka's impact on general election crucial, as parties strategize in the southern state.

Hubballi: Fakir Dingaleshwar swamiji (in pic) has alleged that Union minister Pralhad Joshi is creating a tussle, between him and his senior pontiff Fakir Siddharam Mahaswamiji.On Saturday, swamiji told reporters that Joshi has met Fakir Siddharam swamiji, senior pontiff of Fakireshwar Sansthan Mutt Shirahatti during the election campaign to create a tussle.“When our senior pontiff had tried to contact Joshi after becoming Union minister, he had never received seer’s calls and never tried to meet him. He uses Lingayat mutts, seers and Lingayats at large only during the election. He is applying vibhuti on the foreheads of Lingayat seers and giving envelop to them and we have videos of the same. He is putting used shawls on seers. Despite all these dramas, he has been suppressing Lingayats for 20 years,” he lamented.He also said that he withdrew his nomination as per the instruction of his senior pontiff. He also said that Joshi is trying to divide guru and shishya. He warned that if Joshi continues the same, his personal relationships may be affected. “He even utilised Neha Hiremath’s murder for his political gains. It means he utilises the death of Lingayats for his mileage,” he lashed out. He urged his supporters, even those working in the BJP, to defeat Joshi in the LS election."
138,138,13,https://www.dailymail.co.uk/news/article-13358135/SNP-chief-Humza-Yousef-begs-rivals-save-job-avoid-no-confidence-votes.html,20240428,1,"Humza Yousaf has written ­humiliating 'begging' letters to opposition leaders in a bid to avoid being ousted as First Minister.

The 'lame duck' SNP leader has asked the parties to meet him this week to find 'common ground' after the fallout from his decision to dump the Scottish Greens and run a minority administration.

Mr Yousaf faces two votes of no-confidence at Holyrood this week – one against himself put forward by the Tories and one against his government proposed by Labour.

His grovelling letters were sent yesterday to leaders of the ­Conservatives, Labour, the Greens, Lib Dems and Alex Salmond's Alba Party.

He is desperate to persuade ex-SNP MSP Ash Regan, now the Alba leader at Holyrood, to back him on the no-confidence poll.

Humza Yousaf has written ­humiliating 'begging' letters to opposition leaders in a bid to avoid being ousted as First Minister

Yousaf is desperate to persuade ex-SNP MSP Ash Regan , now the Alba leader at Holyrood, to back him on the no-confidence poll

His fate could lie in her hands as Ms Regan – who Mr Yousaf once said was 'no great loss to the SNP' – could have the casting vote.

She has already submitted a list of demands, including over independence and gender, to the First Minister before she decides whether to lend her support.

Allies have confirmed she has received his letter and that there is an ­emergency Alba National Executive Committee meeting today to discuss what her red lines will be.

They say she will likely call on Mr Yousaf to strengthen his ­independence plans, move away from identity politics, accept the findings of the Cass gender ­treatment review and invest ­properly in key public services.

Holyrood arithmetic dictates Mr Yousaf would need at least 64 of the 129 MSPs to back him in order to win the no-confidence vote in him as First Minister. The SNP has 63 MSPs, leaving him one short.

It is possible Mr Yousaf could win over one or two Green MSPs, but it seems highly unlikely.

Other opposition parties appeared to be unmoved by his impassioned plea for support, with the dumped Greens, the Tories, Labour and Lib Dems yet to confirm if they will meet with the SNP leader.

Last night, Scottish Tory leader Douglas Ross, who has written back to Mr Yousaf but not said if he will accept his invitation to Bute House, said: 'This is a humiliating and embarrassing letter, in which Humza Yousaf is begging to be allowed to keep his job.

'His belated abandonment of the Bute House Agreement with the toxic Greens... does nothing to undo the immense damage it has caused.

'Our NHS, schools, police and public services have all been profoundly hit by the spectacular mismanagement of the SNP-Green government under his leadership.

'Humza Yousaf now talks about delivering 'substantial benefits for people, communities and ­businesses', and only wants to discuss 'concerns and… priorities' now that his job is on the line.'

Calling for Mr Yousaf to resign, Mr Ross added: 'His future as First Minister rests on a vote that is currently so finely balanced his credibility as a leader will be utterly destroyed, whatever the result.'

Scottish Tory leader Douglas Ross said Yousaf's future as First Minister 'rests on a vote that is currently so finely balanced his credibility as a leader will be utterly destroyed, whatever the result'

Writing to the leaders, Mr Yousaf said each group 'must contribute constructively... building consensus for the common good'.

Speaking outside his home in Dundee yesterday, he seemed open to working with Ms Regan.

He said: 'She has written to me and believes there are areas where we will be able to co-operate on.'"
874,87,8,https://www.independent.co.uk/news/uk/home-news/titanic-gold-watch-sold-richest-man-b2535929.html,20240428,2,"Get the free Morning Headlines email for news from our reporters across the world Sign up to our free Morning Headlines email Please enter a valid email address Please enter a valid email address SIGN UP I would like to be emailed about offers, events and updates from The Independent. Read our privacy policy Thanks for signing up to the

Morning Headlines email {{ #verifyErrors }} {{ message }} {{ /verifyErrors }} {{ ^verifyErrors }} Something went wrong. Please try again later {{ /verifyErrors }}

A gold pocket watch that was recovered from the body of the richest man on the Titanic has sold for a record-breaking £1.175 million.

The watch was sold on Saturday to a private collector in the US at Henry Aldridge & Son in Devizes, Wiltshire, for the highest amount ever for Titanic memorabilia, the auctioneers said.

The original owner of the watch, businessman John Jacob Astor, 47, went down with the ship in 1912 after seeing new wife Madeleine onto a lifeboat.

The previous highest amount paid for Titanic artefacts was £1.1 million for a violin that was played as the ship sank – which sold at the same auction house in 2013, according to the auctioneers.

A spokesperson for the auctioneers said the £1.175 million was inclusive of fees and taxes paid by the buyer.

( Henry Aldridge & Son/PA Wire )

The case for the violin was sold at the same auction as the pocket watch at Henry Aldridge & Son on Saturday for £360,000 including fees and taxes.

Auctioneer Andrew Aldridge said that the prices fetched by the Titanic memorabilia at the sale were “absolutely incredible”.

John Jacob Astor ( Bettmann Archive )

He said: “They reflect not only the importance of the artefacts themselves and their rarity but they also show the enduring appeal and fascination with the Titanic story.

“112 years later, we are still talking about the ship and the passengers and the crew.

“The thing with the Titanic story, it’s effectively a large ship hits an iceberg with a tragic loss of life, but more importantly is 2,200 stories.

“2,200 subplots, every man woman and child had a story to tell and then the memorabilia tells those stories today.”

Rather than try his luck with another safety vessel, impeccably dressed Astor, who was a prominent member of the wealthy Astor family, was last seen smoking a cigarette and chatting with a fellow passenger.

His body was recovered from the Atlantic Ocean seven days later and his exquisite 14-carat gold Waltham pocket watch, engraved JJA, was found.

Mr Aldridge said: “Astor is well known as the richest passenger aboard the RMS Titanic and was thought to be among the richest people in the world at that time, with a net worth of roughly 87 million US dollars – equivalent to several billion dollars today.

“At 11.40pm on April 14 1912, the Titanic hit an iceberg and started to take on water.

“At first, Astor did not believe the ship was in any serious danger, but later it was apparent she was sinking and the captain had started an evacuation after midnight, so he helped his wife into lifeboat 4.”

Mrs Astor survived, and her husband’s body was recovered on April 22 not far from the sinking.

The watch was passed by Mr Astor’s son Vincent to the son of his father’s executive secretary, William Dobbyn."
45,45,4,https://www.yahoo.com/news/love-82nd-avenue-roses-parade-221503616.html,20240428,3,"PORTLAND, Ore. (KOIN) — What do a tank, the Ghostbusters and dragon dancers have in common?

If you said they were all part of the 82nd Avenue of Roses Parade, you’re right.

The 18th annual parade began at Eastport Plaza and continued to Yamhill Street and brought together parts of the community up and down that stretch.

Yelp highlights Portland arcade bar as best in the nation

“I love this parade,” attendee Shane Reaney told KOIN 6 News. “It brings so many neighborhoods all together all up and down 82nd. We’ve been loving this parade for years.”

Parade organizer Nancy Chapin said the community’s interest “is a very special part of this parade.” She noted dozens of volunteers made this parade come to life.

Her goal for 2025 is to raise enough funds so she can livestream the parade for those who can’t make it.

For the latest news, weather, sports, and streaming video, head to KOIN.com."
52,52,5,https://www.yahoo.com/news/four-plead-guilty-stolen-mail-214038309.html,20240428,4,"ST. LOUIS – Four people linked to stolen mail in St. Charles and Warren counties have pleaded guilty to federal fraud charges.

Two guilty pleas came earlier this week. The four defendants include…

Elijah Briggs, 42

Jessica Kirkpatrick, 44

Reuben Kim, 36

Holly Naylor, 41

All four have pleaded guilty to two counts of bank fraud. Briggs also admitted to another count of bank fraud and two counts of aggravated identity theft.

According to the U.S. Department of Justice, offenses date back to 2019. Briggs admitted to stealing mail from homes, specifically mail with blank checks, while working as a contractor.

Sidewalk squatters move up the road after tarp encampment torn down

At some point, Briggs was caught with stolen mail belonging to dozens of people, which included more than 30 stolen debit or credit cards and over 100 checks in the names of others. Investigators say the total dollar amount on the stolen or fraudulent checks surpassed $116,000. Briggs also had a notebook containing the names and personally identifiable information of several people.

In October 2021, St. Charles officers found Briggs in possession of drugs, blank check paper and stolen or fraudulent checks that totaled $40,000 during a traffic stop.

Authorities also learned that Briggs created fraudulent checks that Kirkpatrick, Naylor and Kim later deposited. All three pleaded guilty to cashing in fraudulent checks that Briggs created.

Close

Thanks for signing up!

Watch for us in your inbox.

Subscribe Now

Daily News

Briggs, Kirkpatrick, Naylor and Kim all face up to 30 years in prison on each bank fraud charge.

The Homeland Security Investigations and the U.S. Postal Inspection Service investigated this case, along with authorities in St. Charles and Warren counties.

For the latest news, weather, sports, and streaming video, head to FOX 2."
192,192,19,https://timesofindia.indiatimes.com/city/ranchi/aide-of-wanted-maoist-leader-held/articleshow/109656387.cms,20240428,5,"CCL employee dies by

:

Illegal sand seized

:

We also published the following articles recently

Strong winds and skylight claim a farmer's life in Haryana's Jind district

A 61-year-old farmer named Shiv Kumar from Jind district got struck by lightning while irrigating. His body was found with burn injuries, leading to his death despite efforts to save him.

If Jodhpur had been an easy, Gehlot would not have made his son contest from Jalore: Gajendra Singh Shekhawat

Shekhawat campaigns in Jodhpur, showcasing industrial growth and infrastructure development. He emphasizes Sanatan Dharma's importance and criticizes Congress for obstructing water supply projects for political gains.

The Strong Aries: Brave and Full of Energy

Aries, symbolizing strength and bravery, inspire with their passion and leadership. Fearless in the face of challenges, they embrace change and risks, always supporting others with kindness and enthusiasm.

Daltonganj: Personnel from Hussainabad, Deori and Dangwar police stations and a contingent of 172 Bn CRPF on Friday apprehended Rajinder Bhuiyan, an associate of Maoist leader Nitesh who carries a reward of 15 lakh on his head. They recovered four country-made guns and ammunitions. According to the SP, Rajinder had been lying low for a year before resurfacing in his native village Naso Jamalpur just days before the election.His capture is particularly important during the election period.The joint team also arrested Vishnu Vishwakarma, who has the knowledge of fixing country-made guns.A 45-years old Central Coalfields Limited (CCL) employee posted at the Central Work Shop (CSW) in Barkakana of Ramgarh died by suicide by hanging himself from a ceiling fan in his quarter in Naya Nagar on Friday night. Police said, “Santoshi Mishra, wife of Rajesh, along with her son had gone out when the incident occurred. They immediately informed the police. Prima facie it appeared to be a case of suicide.”Three trucks laden with illegally mined 20 lakh cubic feet (CFT) sand was seized from near the railway line adjoining Subarnarekha river under the Tiruldih police station limits in Chandil sub-division of Seraikela-Kharsawan district on the intervening night of Friday and Saturday. District mining officer Jyoti Shankar Sathpathy said an FIR has been lodged."
16,16,1,https://www.couriernews.com/news/national/ap-trending-summarybrief-at-5-03-p-m-edt/article_18678447-a5a4-500c-99f3-3c18dc2020e6.html,20240428,6,"State Alabama Alaska Arizona Arkansas California Colorado Connecticut Delaware Florida Georgia Hawaii Idaho Illinois Indiana Iowa Kansas Kentucky Louisiana Maine Maryland Massachusetts Michigan Minnesota Mississippi Missouri Montana Nebraska Nevada New Hampshire New Jersey New Mexico New York North Carolina North Dakota Ohio Oklahoma Oregon Pennsylvania Rhode Island South Carolina South Dakota Tennessee Texas Utah Vermont Virginia Washington Washington D.C. West Virginia Wisconsin Wyoming Puerto Rico US Virgin Islands Armed Forces Americas Armed Forces Pacific Armed Forces Europe Northern Mariana Islands Marshall Islands American Samoa Federated States of Micronesia Guam Palau Alberta, Canada British Columbia, Canada Manitoba, Canada New Brunswick, Canada Newfoundland, Canada Nova Scotia, Canada Northwest Territories, Canada Nunavut, Canada Ontario, Canada Prince Edward Island, Canada Quebec, Canada Saskatchewan, Canada Yukon Territory, Canada

Zip Code"
26,26,2,https://www.thestar.com.my/news/nation/2024/04/28/parti-bersatu-sabah-confident-of-retaining-matunggong-stronghold,20240428,7,"KOTA KINABALU: The loss of the Kota Marudu parliamentary seat, which was held by Parti Bersatu Sabah (PBS) president Datuk Seri Maximus Ongkili two years ago, has not dampened the party’s hopes to retain the Matunggong state seat in the upcoming state election, says party deputy president Datuk Dr Joachim Gunsalam.

He said his party will be able to hold on to the state seat, which is one of the party’s traditional strongholds. Matunggong, together with Bandau and Tandek, are three state seats in the Kota Marudu parliamentary seat.

Tandek is held by PBS’s Hendrus Anding, while the Bandau seat is held by Datuk Wetrom Bahanda, who contested as an Independent to defeat Ongkili’s two-decade hold on Sabah’s northern Kota Marudu seat in the 15th General Election.

Gunsalam said PBS has an edge to retain the Matunggong seat held by party secretary Datuk Julita Majungki.

“Party members should stay strong and rally behind the party that is championing the rights of the natives,” he said at the Matunggong PBS annual general meeting yesterday.

Gunsalam, who is Deputy Chief Minister II, said PBS and Sabah STAR, led by Datuk Seri Dr Jeffrey Kitingan, have signed a Memorandum of Understanding (MOU) to work together on their common struggle while avoiding divisive politics.

He added this cooperation also strengthens the unity of the Gabungan Rakyat Sabah (GRS) government, led by Chief Minister Datuk Seri Hajiji Noor.

Gunsalam said that cooperation was necessary among all the seven parties in GRS to ensure that the incumbent GRS state government gets a strong win in the 73 state seats.

“No one party can dominate the 73-state assembly, and we need to work with friends to govern Sabah effectively,” he added."
26,26,2,https://www.thestar.com.my/news/nation/2024/04/28/lorry-driver-held-for-illegally-dumping-construction-debris,20240428,8,"GEORGE TOWN: A lorry driver was detained by Penang Island City Council (MBPP) enforcers for allegedly dumping eight tonnes of construction debris on a vacant plot of land next to a pocket park in Bukit Jambul.

City councillor Tan Soo Siang said a park visitor had spotted the lorry driver, in his 20s, committing the offence and called the MBPP hotline on Friday afternoon.

“A team rushed to the scene and waited in ambush. Photographs were snapped as evidence and as the lorry driver was dumping the third load, the enforcement personnel moved in and apprehended him at about 4pm.

“A police report was subsequently lodged, and he was released after being questioned. We also called up his employer to assist in our investigations,” Tan told reporters after visiting the site yesterday.

Also present were her fellow councillors Rohaizat Hamid, Benji Ang, Choong You Ray and Nicholas Theng.

Tan added that the case was referred to MBPP’s legal unit for prosecution under either the Local Government Act 1976 or the Street, Drainage and Building Act 1974, depending on which carries a more severe penalty.

“We view illegal dumping seriously and will continue to conduct regular operations to prevent such activities from happening in the state.

“Waste generators are responsible for ensuring that their appointed contractors transport and dispose of waste with a permit at a landfill approved by the council. Additionally, they should obtain a record of the waste weighing slip,” she said.

Though uncommon, lorry drivers are occasionally caught dumping construction debris illegally to save time and the fuel cost of sending the waste to approved landfills.

They have been seen and reported for dumping on vacant land and even into the sea by passers-by or the state’s public security surveillance cameras."
45,45,4,https://katu.com/news/local/annual-purplestride-portland-walk-sparks-hope-funds-pancreatic-cancer-support,20240428,9,"The PurpleStride Portland Pancreatic Cancer Action Network held its annual walk at Portland International Raceway on Saturday.

KATU’s Helen Raptis was the event emcee, and several members of the KATU family took part in the event.

The event brought together pancreatic cancer survivors, families, caregivers, researchers, and supporters from the local area.

The money raised for the event goes to keep “programs running so patients and their families don’t have to navigate this journey on their own!” event organizers said.

You can still make a donation on the PanCan PurpleStride ."
44,44,4,https://www.bobfm.co.uk/page/1855/,20240428,10,"Forest Green Rovers The name is already suggestive and contains the words ""forest"" and ""green"". But it was only in ..."
833,83,8,https://fijisun.com.fj/2024/04/28/letters-vinaka-pm-rabuka/,20240428,11,"Letters: Vinaka, PM Rabuka

It doesn't matter what's happened; that is now in the past and PM Rabuka must be given credit for doing the right thing by saving the Coalition Government's term in power.

by tukai lagonilakeba

Prime Minister Sitiveni Rabuka at the UN Peace-building Programme for Fiji in Suva on April 26, 2024. Photo: Ronald Kumar"
